,닉네임,태그,별점,작성일,발색력,지속력,수분감,피부타입,리뷰
102,ekgml****,,4,2022.01.03,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"잡티는 전혀 안가려지고 안색은 환해져요. 코에만 모공이 조금 있는데 완전 매끈하게 채워져요.
피부 톤은 밝아지고 모공은 채워지는데 잡티는 안가려지니까 완전 그냥 원래 피부 좋은 사람 같아요.
투명 화장 할 때 일부러 점 그리기도 하잖아요. 그런 느낌.
기미 같은 짙고 큰 잡티가 많은 분은 컨실러 꼭 써야하고 그냥 점이나 주근깨가 있으면 안색만 밝아지고 화장 안한거 같아서 좋아요.
다크닝인지 워낙 얇아서 파데가 사라지는 건지는 모르겠는데 몇시간 있으면 자연스럽게 쌩얼처럼 돼있어서 중간중간 수정해주는게 좋아요. 화장이 지워졌네가 아니고 그냥 화장 안한거 같이 되어버림.
촉촉해서 걍 대충 두드려줘도 수정 잘 돼요. 
모공 조금 있고 잡티 없고 피부톤이 균일하지 않은 건성이라면 이거 쓰면 완전 만족하실듯.
화장 하고 마스크 쓰면 광대쪽만 지워지는게 화장 안한거 보다 보기 싫어서 요즘엔 아예 쌩얼로 다녔는데 이건 워낙 가볍게 발리니까 마스크자국이 티가 안나서 좋아요.
쌩얼보다는 훨씬 예쁘거든요.
한가지 아쉬운건 왜 리필이 없나요ㅠㅠ 가격이 저렴하지도 않은데 매번 본품을 구매하려면 좀 부담스러울거 같아요"
103,fptlst****,,1,2021.12.29,아주 만족해요,보통이에요,아주 촉촉해요,복합성에 좋아요,"제품은 너무너무 좋아요 진짜 짱. 
근데 불량품을 주셨어요 ;; 뚜껑이 안닫혀요 
쿠션을 다써서 너무 급해서 환불안하고 그냥 쓰는데 정말 짜증나네요 뚜껑이 안닫힌다니… 

제품은 자기 피부톤에 맞게 화사하게 표현되어서 너무 좋아요 원랜 두껍게 화장했었는데 그냥 제 피부 그대로 얇게 화장하고 싶어서 샀는데 좋은것같아요 커버력은 솔직히 좋지 않지만 알고샀기때문에 괜찮습니다. 얇은 화장에 정말 좋고 요즘같은 시국에 마스크에도 잘 안묻어요 특히 파우더까지 살짝 하면 마스크에 거의 안묻더라구요. 촉촉한 제품인데 마스크에 잘 안묻어서 그게 너무 좋았습니다.
촉촉한 제품이긴 한데 그렇다고 기초 대충하고 바르는것보단 기초 꼼꼼히 하고나서 얹었을때 더 이쁜 것 같아요 화장 하고 즉후에 거울보면 항상 감탄해요 피부표현 너무 이쁘게 되어서 ㅜㅜ
마스크로 뭉개지면 덜 하긴 한데 어쨌든 만족합니다!
불량품인 것 때문에 별 하나네요.. 상품은 정말 좋아요"
104,zhffk****,,5,2021.12.27,보통이에요,예상보다 짧아요,아주 촉촉해요,건성에 좋아요,"첫줄부터 느낀점을 간단요약하자면 
✔촉촉하고 발림성 좋은 톤업크림같다
✔피부가 원래 좋으신 분은 그 피부를 더 극대화해서 좋아보일 것 같다
✔피부에 가릴게 많은 분들, 커버력을 원하시는 분들에겐 정말 무쓸모 쿠션일듯하다..

💎장점
⭐딱 처음 퍼프로 찍어서 피부에 올렸을 때 수분의 쿨링감과 투명한 피부표현, 수분광이 피부가 정말
예뻐보이게 표현해줍니다
⭐마스크 묻어남이 적다
촉촉해서 묻어남 걱정이 있었는데 왠걸....진짜 여태 써본 쿠션중에 역대급으로 묻어남이 적었습니다
아마 촉촉하지만 그만큼 얇고 소량을 사용하여 제 피부에 착 밀착되기 때문에 그만큼 마스크에 묻어날 양 자체가 없기 때문이지 않을까 싶네요!!
⭐케이스가 예쁘다
처음보는 스타일의 디자인이었고 이름처럼 뭔가 외관에서부터 젤리젤리한 느낌?.. 괜히 외관때문에라도 더 가지고 다니고 싶을만큼 예쁘고 맘에 들었어요!
💎단점
✔다만 투명한만큼 커버력은 거의 5% 정도..?
균일한 피부색이 최대의 커버력이고 정말 옅은 잡티도 그대로 보였습니다..
✔생각보다 무너짐이 예쁘진 않았습니다..
제가 겨울철엔 정말 그 누구보다 자신있는 극악건성인지라
기초를 정말 공들여 흡수시켰는데도 기대보단 빠르게 건조함이 찾아왔고 3~4시간이 지난 후 마스크를 벗어보니 갈라짐과 들뜸 각질끼임등등이 보였습니다.. 이 부분은 제가 워낙 건성이다보니 다른 분들에겐 이만큼의 무너짐은 나타나지 않을 것 같지만 저처럼 심각한 건성이신분들은 그렇게 큰 기대는 안하시는게 좋을 것 같습니다..
✔가격이 너무 비싸다
세일가여도 리필미포함 가격이 3만원대 ㅠㅠ... 비싸지만 너무너무 궁금해서 사봤는데 재구매는..글쎄요..아마 재구매까진 안할 것 같아요 ..세일가가 이만원 중후반대로만 떨어져도 살텐데 너무 비싼게 아쉽네요

총평은 3.5정도!입니당"
105,jinjo****,,5,2021.12.21,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"제 인생템이예요! 데일리로 쓰기 너무 좋은 ㅎㅎ 가볍게 발리고, 촉촉하고, 얇고 투명해서 두꺼워보이지도 않고.. 🌟마스크에 묻어남도 없고🌟 딱 제가 찾던 바로 그 제형입니다

❄️제형
젤리쿠션이라는 이름 답게 망 안에 젤리같이 가볍고 몽실몽실한 파데가 들어있어요! 한때 이런 쿠션이 잠깐 빠짝 유행하다가 없어졌는데, 망쿠션 타입 중에서 제일 최고인것 같아요. 
망쿠션 타입 처음 사용하시는 분들은 약간 낯설 수도 있어요. 

❄️사용감
얇고 투명하게 부드럽게 가볍게… 붙일 형용사가 너무나도 많지만 대표적으로 이 네가지로 형용할 수 있겠네요. 얇게 발려서 메이크업이 두껍다는 느낌없이 데일리로 바를 수 있고, 투명하게 발려서 원래 피부가 좋으신 분들에게는 더할 나위 없으며 일반 피부이신 분들도 부담없이 바를 수 있어요. 부드럽게 발려서 피부에 자극도 없고 가볍게 발려서 수정화장해도 뭉침 전혀 없으며 마스크 묻어남이 없어 찝찝하지 않게 사용 가능해요. 

❄️퍼프
이 제품의 또 좋은 점은 퍼프인것 같은데요. 퍼프가 별다른 기교(?)를 부린 퍼프가 아닌데도 너무 좋더라구요. 가볍게 바르는 용도로 최적하고, 퍼프가 내용물을 먹는 느낌 없이 잘 뱉어내요."
106,ford****,,5,2021.12.13,아주 만족해요,지속이 오래돼요,보통이에요,복합성에 좋아요,"너무너무 좋아요~ 수부지, 22호 쓰는데 1.5호 샀는데 부담스럽지 않게 피부 밝아지는 정도라 너무 만족합니다.
피부가 예민한 편이라 파데나 쿠션만 바르면 오돌토돌하게 올라오고 피부 흡수도 잘 안되서 잘 벗겨졌는데, 이 쿠션은 얇아서 그런지 흡수도 잘되고 오돌토돌하게 올라오는 것도 없고 피부도 좋아보여요.
원래 나비존 모공은 있지만 대체적으로 가릴게 없는 편이고, 색소침착은 군데 군데 있어 피부톤이 정리가 안된 편인데, 피부가 밝아지고 톤이 보정되면서 광이 나서 피부가 엄청 좋아보여서 만족해요. 
그리고 마스크 묻어남도 거의 없어요. 하루종일 끼고 다녔는데 깜짝 놀랐어요. 아무래도 커버력은 없다보니 지속력 걱정도 했는데, 시간이 지날수록 유분이랑 섞어져서 피부가 더 좋아보여요. 다크닝도 거의 없는 편이에요."
107,utopia4****,,4,2021.12.11,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"솔직히 다른분들 리뷰보고 산거라 어느정도는 알고있던 제품입니다 (워낙 핫한 쿠션이기도 하고...) 
고민하다가 맑음으로 선택했는데 다행이도 피부톤과 잘 맞음
1. 커버력은 그렇게 높지 않은데 어차피 마스크끼고있고 좀 예의상(?) 화장하는 사람이라 차라리 커버력이 가벼운 점이 답답하지 않아서 저는 되려 장점으로 느껴집니다. 
그러니까 커버력이 아주 없는게 아니고 적당~~히 있어서 좋다!!! <-이거에요
2. 촉촉함이나 발림성이 참 좋아요~
저는 볼쪽이 좀 건조한 복합성 피부인데 톡톡 바르면 찹찹!! 부드럽게 먹는 느낌이 나요~ 볼쪽에 각질도 잠잠해지고요
3. 바르고 적당히 흡수된 후에 마스크 착용하면 묻어남이 적었어요 근데 마스크 안쪽에 땀나면 쿠션이 사라짐ㅋㅋㅋ
4.향이 은은해요~ 뭐랄까...약간 풀냄새??
5. 덧발라도 괜찮았어요~ 뭉치지않고 잘 발라지는 듯

일단 제가 느낀건 이렇습니다~
근데 이거 리필은 없나요???"
108,vividj,,5,2021.12.06,아주 만족해요,보통이에요,아주 촉촉해요,복합성에 좋아요,정말정말 내 피부같은 자연스러움이 좋아서 선택했읍니당 진짜로 커버력 1도 없고요 엄청 촉촉한 톤업크림 같아요
109,사나사,,5,2021.12.02,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,촉촉하고 시원하고 진정에 좋아요 1호를 샀는데 톤업이 안되지만 자연스럽게 밀착되고 광이 나네요
110,milke****,,4,2021.11.22,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"예전에 어뮤즈 크림밤 쿠션 사용했었던 적이 있는데,
그때도 굉장히 만족하면서 사용해서 어뮤즈에 대한 브랜드 호감도가 높은 편이였어요!
백화점 브랜드 쿠션을 사용하닥 마침 다 떨어져서 리필을 구매할지 아니면 다른 브랜드 본품을 구매할지 고민하던중 ㅎㅎ
뷰티 유튜버분들의 구매 영상을 보고 급 궁금해져서 이것저것 찾아보다가 마침 할인할때 구매하게 됐습니당 !!

1.발림성&제형
건성분들&수부지 분들을 타겟으로 한 쿠션인 만큼, 발림성은 엄청 엄청 촉촉해요 ㅎㅎ 피부 위에 올려보면, 쿠션을 바른다기 보다는 되게 촉촉한 선크림..?을 바른다는 느낌입니당

2.커버력
아무래도 촉촉한 쿠션은 커버력까지 기대하기는 힘든 것 같아요 ㅠㅠ 커버할 부분이 많으신 분들은 컨실러 작업은 하면 되긴 하지만, 바쁜 아침에나 막 바르기에는 커버력이 많이 필요하신 분들에겐 비추합니다 ㅠㅠ 피부결이 매끄럽고 잡티나 기타 커버할 게 많은 분들께는 비추합니다 ! 피부 좋은 분들이 바르기에 좋은 쿠션이에욤

3.지속력
바를 때 물을 머금은 것 처럼 되게 촉촉하게 발려서 사실 지속력 부분에 대해선 큰 기대감이 없었는데, 생각보다 지속력 괜찮아요! 근데 시간이 돌면서 유분끼가 올라오면서 쿠션이 날라가는..? 그런 느낌입니다 ㅎㅎ 

4.총평
대체적으로 만족합니다! 요즘들어 완벽한 커버는 안되더라도 자연스러운 메이크업을 선호하는 편인데 화장안한 느낌의 자연스러운 피부표현할때, 직장다니면서 부담스럽지 않게 바르기 좋은 쿠션 인것 같습니당 ㅎㅎ 촉촉하고 겨울철에 쓰기 좋아요!
다만 피부 좋은 분들께만 추천드려요"
111,lhj70****,,5,2021.11.22,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"건성피부예요.
제피부에 맞을것 같아서 꼼꼼히 보고 주문했는데 처음보는 젤리제형이 발림성도 좋고 덧발라도 뭉침없이 촉촉하게 오래 지속되네요.
요즘같은 날씨에는 실내에서 피부건조함이 더심한데 촉촉하면서 쿨링감있는 제형이 밀착력이 있어서 좋으네요.
메쉬 젤리 쿠션은 처음 사용해본 스타일인데 정착할들해요.
쿠션디자인도 고급스럽고 미니틴트컬러도 맘에 쏙들어요."
112,ybh****,,5,2021.11.16,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"자연스러운 피부표현을 좋아해서 듀젤리 비건쿠션을 주문했어요.
배송오자마자 바로 사용중인데 말랑말랑한 퍼프가 피부에 닿는 감촉이 매우 부드럽네요.
메쉬망이라서 고르게 묻어나고 바르기 편하게 소량만 묻어나서 편하고요.
쫀쫀한 제리 텍스쳐가 고르게 발리고 모공력커버도 좋으네요.고보습,고영양 젤리 에센스가 피부를 더욱 맑게 표현해주네요.
투명한 피부표현력 만족스러워요."
113,이닝,,5,2021.11.10,보통이에요,보통이에요,보통이에요,복합성에 좋아요,묻어남이 거의 없고 얇게 잘 밀착되어서 좋아요. 쿨링감은 생각보다 없어요.
114,lj****,,5,2021.11.09,보통이에요,지속이 오래돼요,보통이에요,복합성에 좋아요,핏줄이 심한데 엄지 검지쪽 손등(손등의 2/5정도) 커버한 사진입니다. 혈관이 거의 가려질 정도로 커버력이 좋습니다. 쿠션 기능도 좋고 외적으로 케이스도 너무 예뻐요. 아침에 화장하고 점심먹고 틴트 다시 바르면서 피부 수정화장 한번정도 하는편인데 수정메이크업도 잘 받아요. 마스크 묻어남도 심하지 않고 좋습니다. 저는 웜톤라이트인제 15맑음 잘 어울리네요. 사은품까지 잘 받았어요.
115,shinkou****,,5,2021.11.01,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"맑고 순수한느낌⭐⭐
맑고 순수한 느낌의 패키지부터 시작해서 피부톤에 굉장히 잘 어울리는 아주 밝은 컬러여서 마음에 들어요 사은품도 틴트까지 아주 마음에 듭니다

물광파데 얇게발림⭐⭐
제형 자체는 크림 파운데이션 바르는 거 같은 느낌인데 둔턱 하지 않고 얇은 느낌으로 깨끗하게 발리네요 물광처럼 촉촉하게 발리는게 화사하니 좋습니다

넘나 촉촉하고 좋아요 보통 화장품들 보면 커버력 좋으면 촉촉하지 않고 잘 밀려 나는데 커버력도 좋아서 마음에 들어요 이름 그대로 얼굴을 젤리같이 촉촉하고 모찌모찌 하게 만들어 주는 거 같아요

패키지 굳굳⭐⭐

그리고 패키지도 정말 예쁩니다  저는 화장품 구매 할 때도 패키지가 굉장히 중요한 편입니다 둔탁한 느낌의 패키지가 아니라 투명한 느낌의 패키지어서 굉장히 예쁘고 가벼운 느낌이 들어요"
116,lllllll****,,5,2021.10.31,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"딱 한마디로 정리하자면
샤넬 레베쥬쿠션!
🍑
샤넬레베쥬를 모델로 두고 만들었다고해도 과언이 아닐정도로 매쉬망도 향도 발림성도 비슷하고 커버력거의없는것도 비슷. 
근데 어뮤즈 쿠션 특유의 바른 뒤 겉이 뽀득하게 마무리돼서 묻어남은 없는 마무리감은 더해진 느낌이에요. 
개인적으로는 좀더 코팅된듯한 어뮤즈쿠션이 더 좋네요!
다만 원래 커버력보다는 자연스러운 피부결정리를 목적으로 한 쿠션인것같아서 트러블이나 다크는 잘 안가려진다는점 유의하셔야 할것같아요!
🍑색 
21-22호 봄웜한테 1.5 거의 피부톤이랑 똑같으돼 좀더 맑은 느낌 색상으로 발려요. 원래 쿠션 1호는 너무 밝고 2호는 너무 어두웠는데 이번에 색 잘뽑았네요!! 20-22호시라면 두루두루 쓰기에 좋을것같아요! 
🍑패키지와 사은품
패키지 여전히 예쁘고 무겁다ㅋ근데 내용물과 패키지까지 연결감이 좋아서 만족감 업업! 복숭아듀틴트도 받았는데 전체적으로 ""쌩얼처럼 보이지만 쌩얼보다 맑은 느낌을 주는 화장""에 맞는 제품들인거같아요. 딱 가벼운 사용감에서 뽑을 수 있는 최대치의 보정력과 맑은분위기를 살린느낌?
🍑총평
취향 호불호를 탈것같지만 호라면 확신의 만족을 얻을 제품. 일단 저는 만족크"
117,qlw****,,5,2021.10.31,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,추운 날씨라 그런지 피부가 급격히 건조해져서 화장이 잘 받질 않아 커버 쿠션을 사용해 보면 괜찮을까 싶어 어뮤즈 듀 젤리 비건 쿠션 누드 톤을 구매했어요. 나이가 드니 어두운 색보다는 화사해 보이면서 한듯 안한듯한 화장이 좋더라구요. 요즘 비건이 대세인데 커버 쿠션도 비건으로 출시가 되네요~ 프랑스에서 비건 인증을 획득한 제품이라고 해서 더욱 믿음이 가요. 제품을 받고 직접 사용해보니 누드 톤이라 화사해 보이면서 자글자글했던 주름까지 커버가 되어 좋아요!~ 그리고 쿠션이 촉촉해도 너~~~무 촉촉해요!~ 촉촉한 느낌을 좋아하는데 고보습이 제대로 느껴지는 어뮤즈 듀 젤리 커버 쿠션 제품~ 제 맘에 딱 드네요!~^^ 피부 속까지 꽉 찬듯한 수분감이 지속력도 오래가서 만족한 제품입니다. 피부톤을 나타내는 어뮤즈 듀 젤리 비군 쿠션의 케이스도 너무 예뻐요!~
118,우주로롱,,1,2021.10.30,다소 아쉬워요,예상보다 짧아요,매트해요,지성에 좋아요,"어뮤즈 실망스럽.. 별로네요…
너무너무 실망스러워요!"
119,dieggc****,,5,2021.10.30,보통이에요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"처음에 발랐을때 내 피부색이랑 넘 똑같아서 계속 더올렸어요 
한 다섯겹 바른듯
쿠션은 무조건 밀리는데 안밀리고 다먹어서 오 좋네✨
근데 광이 오지게 나서 오 좋네✨
계속 올려도 안두꺼워지는 느낌이라 오 좋네✨
올려놓고 보니까 화사(22호쯤 되는 누런피부)해서 오 좋네✨
마스크 찍히겠지 했는데 찍힘 자국 안나서 오 좋네✨
촉촉한고에 비해서 손자국 안나서 오 좋네✨
네시간동안 카페에서 마스크 쓰고 과제했는데 코끼임 별로 없어서 오좋네✨
마스크에도 마니 안묻어나서 오 좋네✨
2시 반에 바르고 지금 8시 반인데 광 유지되어서 오 좋네✨
피부 답답함 1도 없어서 오 좋네✨
다크닝도 없어서 오 좋네✨
케이스 예뻐서 넘 좋네✨

나중엔 1호 사보고싶어요🤔
커버력은 없을무에 가까워요🤔
케이스 예쁜데 넘 커요🤔

아 색상선택이 미스였나 싶은데
알마니 파데 말구는 핑배가 안맞는거같아서
괜찮은 선택이었다 믿구
본인이 피부표현을 중요시한다?
그럼 이거 진짜 사세요
커버는 컨실러한테 맡기구
피부표현은 짱이네유

🚨사진은 거의 다섯겹 바르구 마스크 끼고
카페에서 4시간 있다가 집와서 
수정 안한 상태 찍은 것입니다🚨"
120,ham****,,5,2021.10.30,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"배송빠르게 왔고,슬기포토카드랑 미니 듀틴트까지❤️👍
지금까지 써왔던 쿠션과는 완전히 달라요 .
정말 촉촉하고요 피부에 두드리면서 느낀게 스킨을 바르고 있는 게 아닌가 할 정도로 굉장히 촉촉합니다 .
그리고 쌩얼에 쿠션만 발랐는데 전체적으로 균일하게 톤업이 되고 뭉침 이 하나도 없어 쌩얼처럼 표현이 가능해요.
바르기 전과 후 사진 첨부했는데 옅은 잡티도 커버 되구요 베이스나 색상있는 썬제품 바르고 커버 하면 완벽하게 커버 될 것같아요.제일 좋은 점은 촉촉하고 가볍게 톤업과 커버가 된다는 거예요.
 그리고 오일리한 촉촉함이 아니라 수분의 촉촉함이라 건성이신분 지성이신분한테 다 잘 맞을 것 같아요."
121,call****,,5,2021.10.29,아주 만족해요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"평소 슬기팬이기도 하고ㅋ 슬기가 광고한 제품이라 더 관심이 가기도 했지만 비건 인증 받았고 마침 쿠션도 새로 사야해서 구매해봤는데, 와..넘나 만족이요. 일단 케이스가 넘 이쁘고 향이 은은한게 평소 맡아본 쿠션의 향과는 다른 고급진 향기에요. 그리고 무엇보다 발랐을때 갑자기 확 밝아지는건 선호하지 않는데, 어뮤즈는 촉촉하면서도 자연스럽게 피부를 밝혀줘서 그 부분이 넘 만족스러워요. 바를때 약간 시원한? 차가운? 그런 느낌이 드는건 수분감이 많아서 그렇거든요. 하나하나 만족스럽지 않은게 없네요ㅋ 아 그리고 틴트가 들어있어서 내가 이것도 샀나? 했더니 증정ㅎㅎ 기분 업 :p 완전 잘 샀어요!!"
122,js6490****,,5,2021.12.14,아주 만족해요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"어뮤즈 듀 젤리 비건 쿠션 1호 핑크베이스 컬러 입니다.
커버력이 없다고 보시면 되세요 커버력은 낮은 편 이고 투명한 느낌이 있는데 은은하게 홍조를 잡아주는 효과가 있어요 특유의 물먹은 듯한 과하지 않은 물광 피부표현 속부터 차오르는 촉촉함 에센스 같은 광택감이 있어서 피부표현이 이쁘게 되네요 생얼 쿠션으로 쓰시고 픈들에게 추천 합니다 써본 쿠션 중에 제일 촉촉 한거 같아요 리필이 빠르게 나오면 좋겠어요 할인 행사 하면 무조건 쟁여놔야 할 쿠션 앞으로 이것만 쓸거 같아요 촉촉한 젤리 물광피부 표현이 가능한 베이스 제품 커버력이 없으니 컨실러를 같이 쓰면 좋을 거 같아요 케이스도 너무 투명투명 한 느낌이라 이쁘네요 성분도 착해서 피부 자극도 없는 착한 쿠션 정제수 대신 영양가 높은 젤리 에센스 70%나 함유 되어 있어서 물찬광을 연출 해주는 쿠션 입니다"
123,ohyo****,,5,2021.12.07,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"글로우 쿠션을 선호하는 저로서는 만족스러운 쿠션입니다! 많은 분들이 이미 언급했지만 커버력은 거의 없지만 그래도 홍조 정도는 잡히고, 무엇보다 밀착력이 좋아서 들뜨는 현상도 없고, 피부를 싹 정리해주는 느낌을 받았습니다. 화장한게 크게 티는 안나지만 뭔가 피부 좋아보이는 느낌이 들어서 너무 좋았어요! 

코로나 이후에 마스크 묻어남 때문에 사실 화장을 거의 안하고 선크림만 발랐는데, 이 쿠션은 마스크 묻어남도 거의 없어서 외출할때도 좀 안심하고 사용 할 수 있을거 같아요. 

패키징도 너무 이쁩니다! 단점이라고 하면 케이스가 조금 묵집하고 두툼하다는 점? ㅋㅋ 

아, 그리고 커버력이 약하다고 여러번 두툼하게 바르면 나중에 무너지면서 좀 지저분하더라구요. 얇게 펴바른 날은 아주 저연스럽게 무너졌습니다!"
124,jinjo****,,5,2021.11.30,아주 만족해요,보통이에요,아주 촉촉해요,건성에 좋아요,"부담없이 투명하고 가볍게 발리는 쿠션이예요💜

🌟사용감
아주 가볍고 맑게 올라오는 쿠션이라 데일리로 적합해요. 시중에 판매하는 가볍다는 쿠션/파운데이션들 이것저것 엄청 많이 사용해봤는데 다들 저한테는 화장한 느낌이 많이 나더라구요. 근데 이 쿠션은 정말 가볍게! 맑게! 투명하게! 발리는 느낌이라 데일리로 정말 좋아요! 수정화장한다고 덧발라도 뭉침없구요
은은한 광이 돌아서 피부 표현도 예쁘게 잘 돼요
요즘 시국에 젤 중요한 마스크 묻어남❗️❗️이 부분 정말 중요하게 생각하는데, 제가 써본 쿠션들 중에서 ㅋㄹㅇ 광채쿠션과 투탑으로 제일 마스크 묻어남 없어요 

🌟커버력
얇고 가볍게 발리는 제형이다 보니 커버력은 떨어지는 편.. 이라고 많이들 하시던데, 저는 딱 좋은 커버력이었어요 (피부 좋다는 소리 듣는 편이예요)
평소에 피부 좋아서 컨실러도 필요없고 선크림만 바르고 다니시는 분들, 화장하고 싶으실때 쓰면 딱 좋은것 같아요

🌟지속력
시간이 지나면 다크닝이 아주 살짝 있기는 한데 거슬리는 정도는 아니었어요! 수정화장 팡팡 해주니까 또 맑게 예쁘게 뭉침없이 잘 올라왔어오"
125,ckagksd****,,3,2021.11.22,다소 아쉬워요,예상보다 짧아요,아주 촉촉해요,건성에 좋아요,"비싼 가격이지만 궁금해서 사봤는데 아쉽네요
커버력이 없다는건 후기에서 보고 샀지만
한번 두들겼는데  …?이거  제대로 발리는건가? 싶어 두번 세번 더 덧발랐어요
톤업는 커녕 물광만 더해지더라구요…
바르고 몇분 좀 지나니 뭘가를 발랐구나 하는 느낌은 드는데 그래도 다른 파데나 쿠션들에 비해 많이 부족해요
쌩얼 느낌이 다분한….하지만 마스크엔 굉장히 많이 묻어나와요 
화장한지 여섯시간쯤 지나 마스크를 벗었는데 쌩얼인줄 알았네요…ㅋㅋ 
볼에는 마스크때문에 밀린 흔적까지 있었어요
잡티나 붉은기 없는 피부들이 사용해야 잘 맞을것 같고 마스크 쓰는 요즘엔 맞지않는것 같아요 

타 쿠션들에 비해 좀 큰편이고 예쁘지만 떨어트리면 깨질것 같아서 조심해야겠네요"
126,dhkdnzm****,,5,2021.11.19,보통이에요,보통이에요,아주 촉촉해요,건성에 좋아요,"저는 건성 피부인데 또 물광해서 끈끈하게 올라가는 타입은 절대 불호에요 
근데 또 매트 타입은 얼굴이 땡겨 정착한 쿠션이나 파운ㄷ이션이 없는데 찾았습니다
일단 얼굴에 매우가볍게 올라가요
촉촉한데 과하지 않아서 이름처럼 젤리같이 올라가고 얼굴에 올렸을때 전혀 답답하지 않아요
피부결을 좋아보이게 해주고 가벼운 대신 잡티커퍼가 되지 않는 단점이 있습니다
저는 주근깨가 있지만 결은 좋은 타입이라 만족해요 평소 주근깨를 매력이라고 생각하는 타입이라 신경쓰이지 않고 코시국이니 뭐..
마스크에 아예 안찍히는 쿠션이나 파운데이션은 사실 앖는것같아요 유튜브 광고에서는 바르고 바로 쓰면 안찍히던데 그건 어떻게 하는건지 궁금하긴 하네요!
마스크에 묻어남 있지만 이시국 화장이 다 그렇듯 감안해야하는 듯 해요 
1.5 맑음은 상아색 컬러로 평소 저는 핑크베이스를 바르면 얼굴이 회색이 되기때문에 제 피부톤과 찰떡입ㄷㅏ
단종하면 가만안둬여..."
127,proverbs****,,5,2021.11.18,보통이에요,지속이 오래돼요,아주 촉촉해요,건성에 좋아요,"회사 다니시는 분들 중
마스크 쓴다고 맨얼굴로 다녔는데 쓸리다보니 피부트러블 난 분
건성인 분
하얗게 되는거 까진 아니지만 적당한 커버감이면 되는 분
비싼 팩트 다 써봤지만 다 얼굴에 뭐가 난다는 분
이거 쓰세요..
아X마니 10만원, 에XX로더 15만원, 디X 8만원,  클X오 3만원..등등 온갖 비싸다는거 좋다는거 써봤지만 장시간 얼굴에 얹어 놓으면 꼭 얼굴 다 디바졌는데
이건 하나도 안나네요..?
아니 이게 하나도 안바른 것보다 안나요..말이 되냐구요..
이걸 왜 지금 안건지..
쩔어요..아니..진심 대박나세요..
기존에 13 ~ 17호 써서 호수가 더 높은게 없는건 아쉽지만 그래도 어두워 지는건 아니라서 애용하려구요
물론 더 낮은 호수 나오면 감사드립니다

전 출근 할땐 수분 세럼 -> 수분 크림 바르고 위에 발라요
정말 저 기초만 했을 때랑 팩트까지 얹었을 때랑 피부가 진심 달라요 더 좋아지는게 이상하지만 좋네요
이상하게 피부가 엄청 보드라워졌어요…"
128,wow****,,5,2021.11.10,보통이에요,지속이 오래돼요,아주 촉촉해요,복합성에 좋아요,"항상 액체류 파운데이션만 써왔는데 아토피 때문에 피부가 한 번 뒤집어진 이후부터는 제가 양 조절을 못하는건지 파운데이션 문제인지 아무리 얇게 스펀지에 덜어서 두드려 발라도 부자연스럽게 발리고 여기저기 끼고 지속력은 거울 보고 뒤돌아서면 무너질만큼 못쓸 정도라 쿠션 종류로 새로 찾아보던 도중 이게 괜찮아보여서 구매했어요.
제가 1순위로 고려한건 수분감 그리고 지속력이었어요.
솔직히 커버력은 쿠션 사용하면서 기대하면 안 될 것 같아서 처음부터 제외했고, 제 피부가 수분 부족형 지성에 민감성이라 제발 건조하게 떠보이거나 몇시간 지났다고 와르르 무너지지만 않길 바라면서 리뷰보고 고민하다가 샀는데 왠걸 오랜만에 맘에 드는 화장품을 찾았네요.
일단 촉촉한 제형에 동봉된 쿠션이 쫀쫀해서 똥손인 저도 얇고 고르게 바르기 쉬웠고, 전체적으로 바르고 나서도 끼는 게 안 보였어요.
그리고 외출 후에 6시간 가량 지났을 때도 티 안 날 정도로 살짝 화장이 날아간 것만 보고 지속력도 이정도면 괜찮다고 느꼈어요.
진짜 오랜만에 베이스류 화장품 사면서 후회 안 했네요. 정말 잘 맞는 제품 찾아서 기쁩니다ㅜㅜ"
